
    STEP   DAMPING               NORMS              COMPUTATION TIMES
  IT SIT     GAMMA     ||d||     ||f||     ||U||   F(x)  DF(x)  SOLVE
   0                          8.42e-10  1.83e+05    0.0    0.0    0.0

 STEP      TIME        ||U||  LABEL  TYPE             A        gamma homo.po.period
 6000  00:02:36   1.8275e+05     69          6.8001e+00   2.2550e-03     1.8273e+05
 6100  00:02:38   1.8276e+05     70          6.8001e+00   2.2197e-03     1.8273e+05
 6200  00:02:41   1.8276e+05     71          6.8001e+00   2.1855e-03     1.8273e+05
 6300  00:02:43   1.8276e+05     72          6.8001e+00   2.1524e-03     1.8273e+05
 6400  00:02:46   1.8276e+05     73          6.8001e+00   2.1200e-03     1.8273e+05
 6500  00:02:48   1.8276e+05     74          6.8001e+00   2.0889e-03     1.8273e+05
 6600  00:02:50   1.8276e+05     75          6.8001e+00   2.0586e-03     1.8273e+05
 6700  00:02:53   1.8276e+05     76          6.8001e+00   2.0292e-03     1.8273e+05
 6800  00:02:55   1.8276e+05     77          6.8001e+00   2.0006e-03     1.8273e+05
 6900  00:02:58   1.8276e+05     78          6.8001e+00   1.9728e-03     1.8273e+05
 7000  00:03:00   1.8276e+05     79          6.8001e+00   1.9459e-03     1.8273e+05
 7100  00:03:03   1.8276e+05     80          6.8001e+00   1.9196e-03     1.8273e+05
 7200  00:03:06   1.8277e+05     81          6.8001e+00   1.8941e-03     1.8273e+05
 7300  00:03:08   1.8277e+05     82          6.8001e+00   1.8692e-03     1.8273e+05
 7400  00:03:11   1.8277e+05     83          6.8001e+00   1.8449e-03     1.8273e+05
 7500  00:03:13   1.8277e+05     84          6.8001e+00   1.8213e-03     1.8273e+05
 7600  00:03:16   1.8277e+05     85          6.8001e+00   1.7982e-03     1.8273e+05
 7700  00:03:19   1.8277e+05     86          6.8001e+00   1.7758e-03     1.8273e+05
 7800  00:03:21   1.8277e+05     87          6.8001e+00   1.7539e-03     1.8273e+05
 7900  00:03:24   1.8277e+05     88          6.8001e+00   1.7326e-03     1.8273e+05
 8000  00:03:27   1.8277e+05     89          6.8001e+00   1.7117e-03     1.8273e+05
 8100  00:03:29   1.8277e+05     90          6.8001e+00   1.6913e-03     1.8273e+05
 8200  00:03:32   1.8278e+05     91          6.8001e+00   1.6714e-03     1.8273e+05
 8300  00:03:34   1.8278e+05     92          6.8001e+00   1.6520e-03     1.8273e+05
 8400  00:03:37   1.8278e+05     93          6.8001e+00   1.6330e-03     1.8273e+05
 8500  00:03:40   1.8278e+05     94          6.8001e+00   1.6145e-03     1.8273e+05
 8600  00:03:42   1.8278e+05     95          6.8001e+00   1.5964e-03     1.8273e+05
 8700  00:03:45   1.8278e+05     96          6.8001e+00   1.5787e-03     1.8273e+05
 8800  00:03:48   1.8278e+05     97          6.8001e+00   1.5615e-03     1.8273e+05
 8900  00:03:50   1.8278e+05     98          6.8001e+00   1.5446e-03     1.8273e+05
 9000  00:03:53   1.8279e+05     99          6.8001e+00   1.5281e-03     1.8273e+05
 9100  00:03:56   1.8279e+05    100          6.8001e+00   1.5120e-03     1.8273e+05
 9200  00:03:59   1.8279e+05    101          6.8001e+00   1.4963e-03     1.8273e+05
 9300  00:04:02   1.8279e+05    102          6.8001e+00   1.4809e-03     1.8273e+05
 9400  00:04:04   1.8279e+05    103          6.8001e+00   1.4659e-03     1.8273e+05
 9500  00:04:07   1.8280e+05    104          6.8001e+00   1.4512e-03     1.8273e+05
 9600  00:04:10   1.8280e+05    105          6.8001e+00   1.4367e-03     1.8273e+05
 9700  00:04:13   1.8280e+05    106          6.8001e+00   1.4225e-03     1.8273e+05
 9800  00:04:15   1.8280e+05    107          6.8001e+00   1.4087e-03     1.8273e+05
 9900  00:04:18   1.8280e+05    108          6.8001e+00   1.3950e-03     1.8273e+05
10000  00:04:21   1.8280e+05    109  EP      6.8001e+00   1.3817e-03     1.8273e+05
